"","a","b1","b2","b3","b4"
"a401",1.79,-2.27,-1.43,-1.39,NA
"a402",2.4,-1.94,NA,NA,NA
"a403",2.4,-2.85,NA,NA,NA
"a404",2.54,-2.85,NA,NA,NA
"a405",1.26,-2.62,-2.21,-1.27,-1.52
"a406",1.62,-1.96,-1.19,-0.91,NA
"a407",2.9,-1.3,NA,NA,NA
"a408",2.47,-0.56,NA,NA,NA
"a409",2.66,-0.8,NA,NA,NA
"a410",2.9,-0.76,NA,NA,NA
"a411",2.41,-0.51,NA,NA,NA
"a412",1.65,-1.23,-0.57,0.12,NA
"a413",2.53,-2.64,NA,NA,NA
"a414",2.61,-2.5,NA,NA,NA
"a415",2.88,-2,NA,NA,NA
"a416",2.27,-1.72,-0.88,-0.34,NA
"a417",2.26,-1.58,NA,NA,NA
"a418",3.16,-1.35,NA,NA,NA
"a419",3.12,-0.86,NA,NA,NA
