"","PC1","PC2","PC3"
"a401",0.0981127956344133,0.0568886042244957,-0.17739690174139
"a402",0.0792579575219445,0.147622332492728,0.00474188993118764
"a403",0.0587558252134899,0.268960771142851,0.249227985390198
"a404",0.0593116549977411,0.274597436055894,0.261278875977875
"a405",0.0919854707293398,0.049305745299581,-0.15571970941124
"a406",0.0950516101913411,-0.0240618480534126,-0.267011084421423
"a407",0.0887939088053451,-0.082927862037812,0.153537649509094
"a408",0.0807667154335407,-0.168924196050053,0.30725619443138
"a409",0.086045777697217,-0.157013795788778,0.292852432509859
"a410",0.088452845804156,-0.156186271139622,0.285216136019047
"a411",0.0801586173602905,-0.168511217774476,0.317658090724237
"a412",0.0918043416103134,-0.117495242931469,-0.144179499417599
"a413",0.0635863810142044,0.233502884371173,0.0983044266787573
"a414",0.0670241168208136,0.223359224495085,0.0742130854881476
"a415",0.0796799292257143,0.124989781748693,-0.0964684356837629
"a416",0.10193570425472,-0.0789268322589408,-0.238373876302581
"a417",0.0832620381364746,0.0353199919846806,-0.254207974041089
"a418",0.0900870561725901,-0.0440485005590324,-0.189662600102136
"a419",0.0914885726547018,-0.105998286883213,-0.169398082505977
