"","a","b1","b2","b3","b4"
"a401",2.18,-2.24,-1.42,-1.24,NA
"a402",2.18,-2.02,NA,NA,NA
"a403",2.18,-2.97,NA,NA,NA
"a404",2.18,-3.04,NA,NA,NA
"a405",2.18,-2.59,-2,-1.23,-1.03
"a406",2.18,-1.9,-1.15,-0.74,NA
"a407",2.18,-1.44,NA,NA,NA
"a408",2.18,-0.58,NA,NA,NA
"a409",2.18,-0.85,NA,NA,NA
"a410",2.18,-0.83,NA,NA,NA
"a411",2.18,-0.53,NA,NA,NA
"a412",2.18,-1.21,-0.55,0.18,NA
"a413",2.18,-2.82,NA,NA,NA
"a414",2.18,-2.69,NA,NA,NA
"a415",2.18,-2.22,NA,NA,NA
"a416",2.18,-1.73,-0.88,-0.35,NA
"a417",2.18,-1.61,NA,NA,NA
"a418",2.18,-1.54,NA,NA,NA
"a419",2.18,-0.96,NA,NA,NA
