"","n","raw.r","std.r","r.cor","r.drop","mean","sd"
"a401",6548,0.74,0.73,0.71,0.68,2.71,0.67
"a402",6548,0.53,0.61,0.58,0.5,0.94,0.23
"a403",6548,0.35,0.49,0.46,0.33,0.99,0.12
"a404",6548,0.35,0.49,0.47,0.33,0.99,0.11
"a405",6548,0.71,0.68,0.66,0.63,3.6,0.82
"a406",6548,0.76,0.7,0.68,0.69,2.51,0.82
"a407",6548,0.63,0.66,0.63,0.6,0.87,0.33
"a408",6548,0.62,0.59,0.57,0.57,0.68,0.47
"a409",6548,0.64,0.63,0.61,0.6,0.75,0.43
"a410",6548,0.66,0.65,0.63,0.62,0.74,0.44
"a411",6548,0.62,0.59,0.56,0.56,0.66,0.47
"a412",6548,0.77,0.67,0.65,0.67,1.95,1.04
"a413",6548,0.39,0.51,0.48,0.37,0.98,0.13
"a414",6548,0.42,0.54,0.51,0.39,0.98,0.14
"a415",6548,0.53,0.61,0.58,0.5,0.96,0.2
"a416",6548,0.82,0.74,0.73,0.75,2.3,0.92
"a417",6548,0.58,0.62,0.59,0.55,0.9,0.3
"a418",6548,0.64,0.66,0.64,0.61,0.89,0.31
"a419",6548,0.69,0.67,0.65,0.65,0.78,0.42
