CTTphi1,CTTphi2,CTTphi3,CFAphi1,CFAphi2,CFAphi3,PCMphi1,PCMphi2,PCMphi3,GPCMphi1,GPCMphi2,GPCMphi3,CTTkappa1,CTTkappa2,CTTkappa3,CFAkappa1,CFAkappa2,CFAkappa3,PCMkappa1,PCMkappa2,PCMkappa3,GPCMkappa1,GPCMkappa2,GPCMkappa3,CTTtypeone1,CTTtypeone2,CTTtypeone3,CFAtypeone1,CFAtypeone2,CFAtypeone3,PCMtypeone1,PCMtypeone2,PCMtypeone3,GPCMtypeone1,GPCMtypeone2,GPCMtypeone3,CTTtypetwo1,CTTtypetwo2,CTTtypetwo3,CFAtypetwo1,CFAtypetwo2,CFAtypetwo3,PCMtypetwo1,PCMtypetwo2,PCMtypetwo3,GPCMtypetwo1,GPCMtypetwo2,GPCMtypetwo3
0.605167353,0.683229767,0.728421811,0.592593964,0.674301097,0.722372428,0.593729081,0.67561454,0.722037037,0.592900549,0.674648148,0.722673525,0.597460242,0.678886121,0.725509043,0.590844678,0.674294741,0.722833177,0.591179334,0.674752387,0.721749855,0.591155487,0.674668259,0.723132686,0.031071422,0.0411116141,0.0470560128,0.0225234568,0.0302399634,0.035889529,0.0249934156,0.0338171925,0.0389573845,0.0224824874,0.0302106081,0.0358631001,0.0149812529,0.022576086,0.0278690901,0.0189980338,0.0289409236,0.0353197074,0.0179515775,0.0269691358,0.0336569273,0.018990032,0.0289052126,0.0352751257
0.605138144,0.683224055,0.728421306,0.59254433,0.674254983,0.722342268,0.5937189,0.675594502,0.722039175,0.592862543,0.6746,0.722644674,0.597424375,0.678874247,0.725506558,0.590791706,0.674246322,0.722805227,0.591164806,0.674729054,0.721750704,0.591114587,0.674617556,0.72310607,0.0310822451,0.0411239863,0.0470583734,0.0225318671,0.0302462314,0.0358939748,0.0250026117,0.0338253379,0.0389609164,0.0224902635,0.0302170905,0.0358673998,0.0149811684,0.022572417,0.0278697365,0.0189991753,0.0289445132,0.0353229782,0.0179499198,0.0269684765,0.0336550286,0.0189906071,0.0289090034,0.0352782131
0.605106061,0.683192149,0.728396694,0.592479339,0.674183196,0.722294766,0.593676309,0.675554408,0.722012397,0.592797521,0.67453168,0.722599862,0.597386344,0.678837113,0.725478718,0.590723384,0.674173216,0.722757547,0.591118363,0.674688419,0.721722009,0.591046932,0.674548278,0.723060092,0.0310935721,0.0411352617,0.0470711662,0.022541506,0.0302547291,0.0359011938,0.0250119835,0.0338328283,0.0389668962,0.0224998163,0.0302252525,0.0358744261,0.0149818182,0.0225731864,0.0278693297,0.0190015152,0.0289503214,0.0353290174,0.0179511938,0.026970753,0.0336583104,0.0189929293,0.0289144628,0.035284022
0.60510421,0.683187026,0.72842236,0.592434783,0.674194617,0.722286404,0.593678399,0.675555556,0.722040718,0.592771567,0.674543133,0.722594203,0.597378367,0.678825836,0.725502568,0.590676806,0.674182623,0.722748947,0.591116682,0.674686782,0.721750887,0.591017823,0.674558462,0.723054259,0.0310994249,0.0411450656,0.0470731079,0.0225487003,0.0302558086,0.0359026455,0.0250162871,0.0338352427,0.0389655855,0.0225060962,0.030226271,0.0358755464,0.0149802622,0.0225707844,0.0278635381,0.0190013803,0.0289487003,0.0353292846,0.0179494364,0.0269702784,0.033652634,0.0189919485,0.0289127674,0.0352839199
0.605259336,0.683311895,0.728533195,0.592592669,0.674325035,0.722369986,0.59384509,0.675687414,0.722152144,0.592919087,0.674669433,0.722678423,0.597536086,0.678948719,0.725611314,0.590831145,0.674312614,0.72283738,0.591282879,0.674820451,0.721861185,0.591160916,0.674683436,0.723142606,0.0310866759,0.0411377593,0.0470589212,0.0225470724,0.0302459198,0.0358922084,0.0250103734,0.0338231904,0.0389527432,0.0225050254,0.0302169663,0.0358651452,0.0149752882,0.0225581374,0.0278502536,0.0189925772,0.028936284,0.0353176579,0.0179414016,0.0269583679,0.0336379899,0.0189836791,0.0289007377,0.0352722914
0.605392931,0.683437976,0.72864657,0.592702703,0.674407484,0.722481635,0.593999307,0.675802495,0.722271656,0.593027027,0.674747055,0.722779626,0.597668683,0.679074409,0.725725076,0.590935524,0.67439529,0.72294818,0.591430588,0.674934832,0.721979184,0.591263063,0.674760722,0.723245344,0.0310811735,0.0411205821,0.0470444906,0.0225484869,0.0302403326,0.0358792331,0.02500693,0.0338149226,0.0389375375,0.0225064911,0.0302118734,0.0358532225,0.0149702472,0.0225501502,0.027836498,0.0189867406,0.0289281127,0.0353034881,0.0179344883,0.0269471933,0.033623793,0.0189779626,0.0288930469,0.0352591361
0.605513194,0.683534722,0.7287625,0.592792361,0.674518056,0.722574306,0.594140278,0.675900694,0.722397917,0.593134722,0.674852778,0.722865972,0.597785362,0.679171951,0.725838961,0.591018699,0.6745061,0.723041211,0.591567329,0.675033187,0.722106814,0.591363825,0.67486509,0.723332529,0.031074537,0.0411093056,0.0470302778,0.0225493519,0.0302319444,0.0358675926,0.02500125,0.0338048148,0.0389211574,0.0225064352,0.0302042593,0.0358423611,0.0149639352,0.0225426852,0.0278208796,0.0189801852,0.0289175463,0.0352906481,0.0179265741,0.0269391667,0.0336066204,0.0189705556,0.028882963,0.035247037
0.605876131,0.683892832,0.729068198,0.593206681,0.674901879,0.722894224,0.594561587,0.676272095,0.722729993,0.593550452,0.67523382,0.723178845,0.598174423,0.679541787,0.726152259,0.591431835,0.674889892,0.723360465,0.591994413,0.675405796,0.722438691,0.591778755,0.675245774,0.723645244,0.0310152633,0.0410456507,0.0469634887,0.0225266527,0.030196335,0.0358251914,0.0249659476,0.0337604268,0.0388724194,0.0224831826,0.0301679425,0.0358012062,0.0149549988,0.0225205289,0.0277931338,0.0189613547,0.0288834609,0.0352507539,0.0179099049,0.0269094874,0.0335672002,0.0189517977,0.0288495477,0.035207794
0.606246165,0.684192469,0.7293947,0.593601813,0.67522106,0.723196653,0.594954672,0.676596234,0.723060669,0.593947699,0.675546025,0.723493724,0.598566618,0.679850916,0.726493412,0.591822387,0.675208744,0.723664092,0.592387577,0.675731978,0.722769146,0.592171486,0.675558693,0.72396109,0.0309712227,0.0409926081,0.0468779172,0.0225082287,0.0301660623,0.0357856346,0.0249418875,0.0337186425,0.0388275221,0.0224648071,0.0301367736,0.0357602046,0.014944026,0.0225020921,0.027769828,0.0189438401,0.0288554626,0.0352130637,0.0178936774,0.0268848907,0.0335265458,0.0189341237,0.0288227336,0.0351684798
0.606608665,0.684500349,0.729708595,0.59401188,0.675554158,0.723515723,0.595358491,0.67691195,0.723395528,0.594364081,0.675881202,0.723789658,0.598941045,0.680178657,0.726815609,0.592228684,0.675542906,0.723984897,0.592798166,0.676051793,0.7231041,0.592583021,0.675894573,0.724259312,0.0309296529,0.0409222921,0.046804286,0.022484137,0.0301339856,0.035743536,0.0249061263,0.0336738877,0.0387697181,0.0224409038,0.0301043559,0.0357191707,0.0149300722,0.0224883298,0.0277427906,0.0189237363,0.0288262287,0.0351714419,0.0178764034,0.0268624272,0.0334897741,0.01891372,0.0287934312,0.0351306778
