"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"a401",1,4842,2.62,0.73,3,2.81,0,0,3,3,-1.95,3.03,0.01
"a402",2,4842,0.93,0.26,1,1,0,0,1,1,-3.31,8.95,0
"a403",3,4842,0.99,0.12,1,1,0,0,1,1,-8.45,69.48,0
"a404",4,4842,0.99,0.11,1,1,0,0,1,1,-9.13,81.44,0
"a405",5,4842,3.48,0.88,4,3.67,0,0,4,4,-1.76,2.59,0.01
"a406",6,4842,2.35,0.88,3,2.5,0,0,3,3,-1.18,0.35,0.01
"a407",7,4842,0.83,0.37,1,0.92,0,0,1,1,-1.79,1.21,0.01
"a408",8,4842,0.57,0.5,1,0.58,0,0,1,1,-0.27,-1.93,0.01
"a409",9,4842,0.67,0.47,1,0.71,0,0,1,1,-0.71,-1.5,0.01
"a410",10,4842,0.66,0.47,1,0.7,0,0,1,1,-0.67,-1.55,0.01
"a411",11,4842,0.55,0.5,1,0.56,0,0,1,1,-0.18,-1.97,0.01
"a412",12,4842,1.6,0.97,2,1.63,1.48,0,3,3,-0.19,-0.93,0.01
"a413",13,4842,0.98,0.14,1,1,0,0,1,1,-7.13,48.8,0
"a414",14,4842,0.98,0.15,1,1,0,0,1,1,-6.28,37.48,0
"a415",15,4842,0.95,0.22,1,1,0,0,1,1,-3.99,13.96,0
"a416",16,4842,2.07,0.95,2,2.18,1.48,0,3,3,-0.66,-0.63,0.01
"a417",17,4842,0.87,0.34,1,0.96,0,0,1,1,-2.17,2.69,0
"a418",18,4842,0.85,0.35,1,0.94,0,0,1,1,-2,2.02,0.01
"a419",19,4842,0.7,0.46,1,0.75,0,0,1,1,-0.89,-1.21,0.01
"diag",20,4842,0.02,0.13,0,0,0,0,1,1,7.74,57.87,0
"age",21,4842,71.21,9.9,71,70.98,11.86,55,102,47,0.14,-0.88,0.14
"gender",22,4842,3.4,1.96,5,3.5,0,1,5,4,-0.41,-1.83,0.03
"total",23,4842,23.63,5.51,25,24.55,4.45,1,29,28,-1.44,1.9,0.08
