,SUM,PCA,PCM,GPCM,sum rank,pca rank,pcm rank,gpcm rank
1,15,-1.67153853,-1.359013247,-1.292448099,6062,6096,6062,6044
2,23,-0.263111309,-0.610397317,-0.568996221,4721,4860,4721,4775
3,23,-0.232096493,-0.610397317,-0.556946268,4721,4813,4721,4752
4,22,-0.226008588,-0.718079269,-0.594592002,4982,4797,4982,4818
5,23,-0.195526131,-0.610397317,-0.575369861,4721,4742,4851,4781
6,19,-0.930518523,-1.006189528,-0.994384885,5614,5660,5614,5652
7,28,0.457375281,0.204747754,0.251839053,2437,2822,3048,2674
8,9,-2.757036404,-1.935085032,-1.930728409,6375,6369,6379,6392
9,18,-0.966905648,-1.0956569,-1.049495522,5756,5688,5756,5733
10,19,-0.930518523,-1.006189528,-0.994384885,5613,5659,5613,5651
11,15,-1.452507326,-1.359013247,-1.298198509,6054,5993,6054,6043
12,23,-0.0567452365,-0.610397317,-0.465898755,4720,4484,4720,4511
13,15,-1.539948476,-1.359013247,-1.351498754,6053,6037,6053,6088
14,18,-0.888584561,-1.0956569,-0.995521972,5754,5618,5754,5653
15,20,-0.544088445,-0.914278781,-0.806800415,5427,5263,5427,5312
16,26,0.0361812814,-0.21119749,-0.172661569,3637,4296,4044,3743
17,20,-0.823678024,-0.914278781,-0.909704386,5426,5568,5426,5495
18,23,-0.205912243,-0.610397317,-0.5483604,4719,4766,4848,4716
19,26,0.109523114,-0.21119749,-0.208832679,3637,4122,4044,3851
20,25,-0.0310202365,-0.36204655,-0.452704725,4100,4436,4191,4468
21,29,0.626638632,0.543095565,0.713148165,1683,2166,2398,1683
22,28,0.480882038,0.204747754,0.346563747,2436,2736,2876,2447
23,30,0.738930139,1.133394014,1.118004906,1,1,1,1
24,24,-0.0893356806,-0.493028413,-0.479587843,4409,4534,4578,4538
25,23,-0.306004264,-0.610397317,-0.626138189,4713,4912,4842,4875
26,13,-1.967978286,-1.53865762,-1.549874663,6172,6177,6172,6206
27,22,-0.363979011,-0.718079269,-0.69231638,4970,5008,5011,5043
28,17,-1.451301086,-1.183694385,-1.201420826,5867,5978,5867,5927
29,26,0.228744176,-0.21119749,-0.183289478,3634,3745,3726,3759
30,21,-0.740862687,-0.818732781,-0.866803805,5217,5464,5232,5408
31,22,-0.287734445,-0.718079269,-0.604564329,4969,4881,4969,4823
32,23,-0.145584348,-0.610397317,-0.482838866,4712,4650,4712,4543
33,24,-0.146667795,-0.493028413,-0.526451764,4408,4653,4577,4634
34,22,-0.313854565,-0.718079269,-0.614027158,4967,4917,4967,4844
35,21,-0.428801156,-0.818732781,-0.734120388,5213,5097,5228,5135
36,23,-0.144591213,-0.610397317,-0.487650516,4711,4641,4711,4554
37,23,-0.0567452365,-0.610397317,-0.465898755,4711,4477,4711,4504
38,22,-0.255484759,-0.718079269,-0.607423676,4965,4832,4965,4828
39,20,-0.644476605,-0.914278781,-0.86183464,5407,5356,5446,5388
40,26,0.138243115,-0.21119749,-0.302874877,3634,4036,3726,4096
41,28,0.451929229,0.204747754,0.165047861,2435,2826,2609,2862
42,17,-1.596627635,-1.183694385,-1.320138229,5854,6032,5854,6033
43,22,-0.511629523,-0.718079269,-0.810810282,4963,5201,5001,5301
44,23,-0.0895238711,-0.610397317,-0.586990156,4709,4530,4835,4786
45,30,0.738930139,1.133394014,1.118004906,1,1,1,1
46,30,0.738930139,1.133394014,1.118004906,1,1,1,1
47,28,0.562407362,0.204747754,0.305685289,2433,2320,2607,2536
48,29,0.650668751,0.543095565,0.617269438,1680,1680,1680,1751
49,23,-0.177369848,-0.610397317,-0.606542538,4705,4698,4705,4818
50,30,0.738930139,1.133394014,1.118004906,1,1,1,1
51,29,0.626638632,0.543095565,0.713148165,1679,2161,2393,1679
52,26,0.220524608,-0.21119749,-0.20906783,3627,3771,3719,3841
53,28,0.363518169,0.204747754,0.0419073495,2430,3304,2868,3110
54,21,-0.458277327,-0.818732781,-0.74577302,5197,5124,5212,5145
55,28,0.562407362,0.204747754,0.305685289,2430,2317,2604,2533
56,30,0.738930139,1.133394014,1.118004906,1,1,1,1
57,28,0.36687422,0.204747754,0.0489393623,2429,3263,2866,3061
58,26,0.301526571,-0.21119749,-0.149564091,3623,3513,3715,3676
59,26,0.340620272,-0.21119749,-0.183555894,3623,3345,3715,3748
60,27,0.393144011,-0.0295265493,0.00690072852,3048,3153,3332,3300
61,29,0.650668751,0.543095565,0.617269438,1678,1678,1678,1748
62,27,0.181937875,-0.0295265493,-0.0149634812,3047,3892,3604,3351
63,29,0.650668751,0.543095565,0.617269438,1678,1678,1678,1748
64,28,0.562407362,0.204747754,0.305685289,2427,2314,2601,2530
65,27,0.451513817,-0.0295265493,0.0204402471,3045,2828,3152,3239
66,27,0.38978796,-0.0295265493,0.000266165805,3045,3163,3328,3316
67,20,-0.60634325,-0.914278781,-0.914926967,5381,5292,5420,5455
68,28,0.562407362,0.204747754,0.305685289,2427,2314,2601,2530
69,27,0.336982637,-0.0295265493,-0.0985933847,3044,3366,3151,3545
70,28,0.539775206,0.204747754,0.215828054,2427,2425,2427,2676
71,27,0.308785997,-0.0295265493,-0.0717840765,3043,3465,3325,3448
72,28,0.481405399,0.204747754,0.198077164,2427,2687,2600,2773
73,28,0.397047385,0.204747754,0.0969835617,2427,3093,2860,2929
74,30,0.738930139,1.133394014,1.118004906,1,1,1,1
75,29,0.650668751,0.543095565,0.617269438,1677,1677,1677,1747
76,19,-0.9002378,-1.006189528,-1.033402254,5554,5570,5554,5643
77,28,0.478049348,0.204747754,0.189418203,2425,2720,2598,2808
78,22,-0.429820473,-0.718079269,-0.771437353,4932,5062,4970,5180
79,30,0.738930139,1.133394014,1.118004906,1,1,1,1
80,30,0.738930139,1.133394014,1.118004906,1,1,1,1
81,26,0.31219641,-0.21119749,-0.0964700378,3605,3433,3697,3515
82,27,0.424487917,-0.0295265493,0.0241806507,3036,2954,3046,3128
83,30,0.738930139,1.133394014,1.118004906,1,1,1,1
84,30,0.738930139,1.133394014,1.118004906,1,1,1,1
85,29,0.463492734,0.543095565,0.487201069,1673,2755,2196,2180
86,30,0.738930139,1.133394014,1.118004906,1,1,1,1
87,30,0.738930139,1.133394014,1.118004906,1,1,1,1
88,30,0.738930139,1.133394014,1.118004906,1,1,1,1
89,29,0.650668751,0.543095565,0.617269438,1670,1670,1670,1740
90,30,0.738930139,1.133394014,1.118004906,1,1,1,1
91,30,0.738930139,1.133394014,1.118004906,1,1,1,1
92,30,0.738930139,1.133394014,1.118004906,1,1,1,1
93,30,0.738930139,1.133394014,1.118004906,1,1,1,1
94,28,0.535381462,0.204747754,0.311266083,2412,2544,2412,2451
95,29,0.650668751,0.543095565,0.617269438,1666,1666,1666,1736
96,29,0.626638632,0.543095565,0.713148165,1666,2143,2374,1666
97,30,0.738930139,1.133394014,1.118004906,1,1,1,1
98,28,0.562407362,0.204747754,0.305685289,2409,2297,2581,2511
99,27,0.162975639,-0.0295265493,-0.00567249425,3020,3950,3126,3315
100,27,0.451513817,-0.0295265493,0.0204402471,3020,2804,3126,3213
101,24,-0.4312962,-0.493028413,-0.533412315,4355,5045,4524,4603
102,28,0.397047385,0.204747754,0.0969835617,2409,3070,2839,2908
103,27,0.38978796,-0.0295265493,0.000266165805,3019,3135,3298,3288
104,27,0.214536749,-0.0295265493,-0.109328348,3019,3751,3291,3526
105,23,-0.11355399,-0.610397317,-0.566944832,4654,4518,4779,4697
106,26,0.100287153,-0.21119749,-0.289319288,3583,4080,3675,4005
107,8,-2.657740636,-2.046470109,-1.983373831,6303,6258,6303,6304
108,18,-1.092940395,-1.0956569,-1.161432308,5665,5699,5665,5810
109,21,-0.414566276,-0.818732781,-0.780077052,5147,5014,5162,5172
110,29,0.650668751,0.543095565,0.617269438,1665,1665,1665,1734
111,20,-0.60634325,-0.914278781,-0.914926967,5341,5252,5380,5415
112,29,0.536137571,0.543095565,0.370488939,1665,2524,2185,2378
113,25,0.0761018462,-0.36204655,-0.396897373,4037,4157,4128,4297
114,26,0.278894414,-0.21119749,-0.198949843,3581,3561,3673,3761
115,26,0.340620272,-0.21119749,-0.183555894,3581,3308,3673,3705
116,26,0.278894414,-0.21119749,-0.198949843,3581,3560,3673,3760
117,26,0.220524608,-0.21119749,-0.20906783,3581,3722,3673,3789
118,24,-0.00475044533,-0.493028413,-0.475599864,4344,4301,4344,4455
119,28,0.562407362,0.204747754,0.305685289,2407,2296,2579,2509
120,29,0.569666788,0.543095565,0.459376719,1665,2221,2185,2270
121,25,-0.992152647,-0.36204655,-0.47112879,4031,5610,4302,4449
122,30,0.738930139,1.133394014,1.118004906,1,1,1,1
123,28,0.478049348,0.204747754,0.189418203,2405,2698,2577,2785
124,14,-1.877604771,-1.447911258,-1.52793316,6011,6049,6012,6095
125,27,0.451513817,-0.0295265493,0.0204402471,3013,2798,3119,3206
126,29,0.566310737,0.543095565,0.44702135,1664,2273,2184,2322
127,30,0.738930139,1.133394014,1.118004906,1,1,1,1
128,29,0.650668751,0.543095565,0.617269438,1663,1663,1663,1732
129,27,0.282665877,-0.0295265493,-0.0888216627,3010,3514,3287,3456
130,29,0.650668751,0.543095565,0.617269438,1663,1663,1663,1732
131,28,0.562407362,0.204747754,0.305685289,2401,2290,2573,2503
132,29,0.650668751,0.543095565,0.617269438,1663,1663,1663,1732
133,29,0.650668751,0.543095565,0.617269438,1663,1663,1663,1732
134,18,-1.015972713,-1.0956569,-1.093080147,5641,5621,5641,5684
135,26,0.278894414,-0.21119749,-0.198949843,3568,3547,3660,3747
136,30,0.738930139,1.133394014,1.118004906,1,1,1,1
137,27,0.451513817,-0.0295265493,0.0204402471,3005,2790,3111,3198
138,23,-0.423368134,-0.610397317,-0.736639448,4628,4996,4753,5051
139,24,-0.149663576,-0.493028413,-0.545299958,4327,4582,4327,4611
140,23,-0.291901028,-0.610397317,-0.667792708,4627,4794,4627,4869
141,28,0.481405399,0.204747754,0.198077164,2398,2655,2570,2740
142,26,0.220524608,-0.21119749,-0.20906783,3565,3705,3657,3772
143,28,0.367571215,0.204747754,0.0682395389,2398,3183,2824,2963
144,24,-0.0767954367,-0.493028413,-0.477634048,4324,4418,4491,4442
145,24,0.105204327,-0.493028413,-0.354810769,4324,4051,4491,4155
146,11,-2.510170822,-1.728676127,-1.724390428,6153,6193,6153,6169
147,20,-0.893363846,-0.914278781,-0.997366073,5309,5500,5348,5532
148,29,0.650668751,0.543095565,0.617269438,1662,1662,1662,1731
149,28,0.515745087,0.204747754,0.270993171,2397,2614,2823,2602
150,27,0.427483698,-0.0295265493,0.0619934646,3001,2894,3429,2988
151,21,-0.36473512,-0.818732781,-0.709473831,5111,4909,5126,4976
152,25,0.169435597,-0.36204655,-0.213139025,4011,3856,4011,3792
153,20,-0.793707742,-0.914278781,-0.924919646,5304,5411,5343,5391
154,22,-0.226815675,-0.718079269,-0.601283712,4867,4688,4905,4722
155,23,-0.175442938,-0.610397317,-0.539458783,4618,4604,4618,4582
156,14,-1.929493691,-1.447911258,-1.396331261,5981,6038,5982,5983
157,27,0.369988493,-0.0295265493,0.0476230506,3001,3175,3277,3036
158,28,0.515745087,0.204747754,0.270993171,2397,2614,2823,2602
159,15,-1.646997131,-1.359013247,-1.345616228,5913,5941,5913,5938
160,20,-0.732435909,-0.914278781,-0.766143069,5300,5340,5300,5099
161,19,-0.912601528,-1.006189528,-0.970780776,5477,5508,5477,5477
162,15,-1.626312382,-1.359013247,-1.327585433,5911,5931,5911,5922
163,27,0.308262636,-0.0295265493,0.026683091,3000,3436,3480,3086
164,22,-0.372539276,-0.718079269,-0.6653951,4863,4914,4901,4843
165,0,-5.618044785,-3.464896158,-3.388410421,6361,6361,6361,6361
166,21,-0.40952505,-0.818732781,-0.708439753,5104,4970,5119,4966
167,25,0.0619986095,-0.36204655,-0.343087111,4008,4143,4098,4128
168,20,-0.829124076,-0.914278781,-0.936834235,5296,5437,5334,5411
169,27,0.311618687,-0.0295265493,0.0335667358,3000,3406,3480,3082
170,22,-0.378235506,-0.718079269,-0.684506934,4861,4919,4899,4898
171,20,-0.624499533,-0.914278781,-0.888916077,5294,5217,5332,5318
172,22,-0.346860421,-0.718079269,-0.687190179,4861,4869,4899,4906
173,28,0.370927266,0.204747754,0.0755366176,2397,3143,2823,2954
174,27,0.255980674,-0.0295265493,-0.162027044,2999,3591,3275,3636
175,24,0.0811742088,-0.493028413,-0.329513414,4313,4097,4313,4082
176,25,0.169435597,-0.36204655,-0.213139025,4005,3850,4005,3786
177,19,-1.036546274,-1.006189528,-1.060472089,5464,5598,5464,5595
178,15,-1.34656169,-1.359013247,-1.263967485,5897,5787,5897,5845
179,24,-0.0262627791,-0.493028413,-0.444259893,4312,4316,4478,4356
180,27,0.427483698,-0.0295265493,0.0619934646,2999,2893,3425,2986
181,26,0.171248971,-0.21119749,-0.193633504,3554,3842,3646,3713
182,27,0.369988493,-0.0295265493,0.0476230506,2999,3172,3275,3033
183,9,-2.619746862,-1.935085032,-1.880652813,6203,6175,6207,6206
184,19,-1.060576392,-1.006189528,-1.044568691,5460,5611,5460,5565
185,22,-0.334843538,-0.718079269,-0.636883355,4853,4837,4853,4778
186,26,0.167719286,-0.21119749,-0.285412504,3553,3866,3645,3955
187,20,-0.934449512,-0.914278781,-0.960887962,5283,5504,5283,5440
188,14,-2.20575642,-1.447911258,-1.47938712,5952,6077,5953,6010
189,13,-2.083704543,-1.53865762,-1.526295995,6014,6048,6014,6032
190,20,-0.510328623,-0.914278781,-0.822520894,5283,5078,5320,5194
191,20,-0.684872793,-0.914278781,-0.888994977,5283,5272,5320,5306
192,23,-0.222388939,-0.610397317,-0.610159846,4604,4662,4727,4721
193,23,-0.306068394,-0.610397317,-0.624884758,4604,4793,4727,4751
194,15,-2.078085742,-1.359013247,-1.315001269,5885,6043,5885,5887
195,26,0.315192191,-0.21119749,-0.0645694241,3553,3377,3645,3381
196,23,-0.219556249,-0.610397317,-0.555126238,4603,4657,4603,4621
197,16,-1.523141087,-1.271203021,-1.305621474,5800,5853,5800,5880
198,26,0.281727104,-0.21119749,-0.11117621,3553,3510,3645,3506
199,27,0.369988493,-0.0295265493,0.0476230506,2999,3172,3275,3033
200,28,0.562407362,0.204747754,0.305685289,2397,2286,2569,2499
201,29,0.650668751,0.543095565,0.617269438,1662,1662,1662,1731
202,13,-2.272807469,-1.53865762,-1.608438253,6002,6077,6002,6061
203,29,0.650668751,0.543095565,0.617269438,1662,1662,1662,1731
204,29,0.650668751,0.543095565,0.617269438,1662,1662,1662,1731
205,28,0.562407362,0.204747754,0.305685289,2394,2283,2566,2496
206,27,0.342678867,-0.0295265493,-0.0624938206,2994,3268,3270,3372
207,27,0.451513817,-0.0295265493,0.0204402471,2994,2781,3100,3180
208,28,0.538377244,0.204747754,0.368479996,2394,2481,2818,2379
209,30,0.738930139,1.133394014,1.118004906,1,1,1,1
210,30,0.738930139,1.133394014,1.118004906,1,1,1,1
211,17,-1.334799194,-1.183694385,-1.183382488,5700,5755,5700,5746
212,26,0.231785322,-0.21119749,-0.247649598,3542,3635,3543,3853
213,27,0.451513817,-0.0295265493,0.0204402471,2991,2778,3097,3177
214,28,0.430940256,0.204747754,0.108742496,2392,2860,2564,2865
215,29,0.650668751,0.543095565,0.617269438,1660,1660,1660,1729
216,27,0.38978796,-0.0295265493,0.000266165805,2989,3101,3263,3247
217,28,0.562407362,0.204747754,0.305685289,2391,2280,2563,2492
218,28,0.562407362,0.204747754,0.305685289,2391,2280,2563,2492
219,29,0.650668751,0.543095565,0.617269438,1660,1660,1660,1729
220,28,0.539775206,0.204747754,0.215828054,2390,2383,2390,2628
221,28,0.562407362,0.204747754,0.305685289,2390,2279,2561,2491
222,29,0.650668751,0.543095565,0.617269438,1660,1660,1660,1729
223,28,0.562407362,0.204747754,0.305685289,2389,2278,2560,2490
224,30,0.738930139,1.133394014,1.118004906,1,1,1,1
225,18,-1.110515843,-1.0956569,-1.116829349,5564,5612,5564,5652
226,25,0.119493815,-0.36204655,-0.334470686,3975,3951,4064,4062
227,29,0.650668751,0.543095565,0.617269438,1659,1659,1659,1728
228,30,0.738930139,1.133394014,1.118004906,1,1,1,1
229,0,-5.618044785,-3.464896158,-3.388410421,6298,6298,6298,6298
230,19,-0.977653106,-1.006189528,-1.096142674,5423,5501,5423,5610
231,29,0.650668751,0.543095565,0.617269438,1658,1658,1658,1727
232,21,-0.778498173,-0.818732781,-0.934857662,5057,5326,5072,5354
233,30,0.738930139,1.133394014,1.118004906,1,1,1,1
234,30,0.738930139,1.133394014,1.118004906,1,1,1,1
235,30,0.738930139,1.133394014,1.118004906,1,1,1,1
236,30,0.738930139,1.133394014,1.118004906,1,1,1,1
237,28,0.562407362,0.204747754,0.305685289,2381,2270,2552,2482
238,29,0.650668751,0.543095565,0.617269438,1654,1654,1654,1723
239,28,0.430940256,0.204747754,0.108742496,2380,2842,2551,2847
240,29,0.650668751,0.543095565,0.617269438,1654,1654,1654,1723
241,28,0.562407362,0.204747754,0.305685289,2379,2268,2550,2480
242,30,0.738930139,1.133394014,1.118004906,1,1,1,1
243,29,0.650668751,0.543095565,0.617269438,1653,1653,1653,1722
244,27,0.32004671,-0.0295265493,-0.117681856,2967,3322,3073,3489
245,28,0.562407362,0.204747754,0.305685289,2377,2266,2548,2478
246,27,0.451513817,-0.0295265493,0.0204402471,2966,2755,3072,3152
247,28,0.562407362,0.204747754,0.305685289,2377,2266,2548,2478
248,29,0.650668751,0.543095565,0.617269438,1653,1653,1653,1722
249,26,0.336226528,-0.21119749,-0.130106432,3511,3277,3512,3515
250,23,-0.291901028,-0.610397317,-0.667792708,4557,4720,4557,4792
251,30,0.738930139,1.133394014,1.118004906,1,1,1,1
252,30,0.738930139,1.133394014,1.118004906,1,1,1,1
253,30,0.738930139,1.133394014,1.118004906,1,1,1,1
254,29,0.650668751,0.543095565,0.617269438,1650,1650,1650,1719
255,27,0.451513817,-0.0295265493,0.0204402471,2960,2749,3066,3146
256,26,-0.0357638835,-0.21119749,-0.232611998,3506,4298,3596,3774
257,24,-0.359614744,-0.493028413,-0.6174336,4255,4819,4421,4680
258,29,0.650668751,0.543095565,0.617269438,1650,1650,1650,1719
259,22,-0.315567432,-0.718079269,-0.609400339,4793,4751,4830,4664
260,29,0.650668751,0.543095565,0.617269438,1650,1650,1650,1719
261,29,0.650668751,0.543095565,0.617269438,1650,1650,1650,1719
262,26,0.231785322,-0.21119749,-0.247649598,3503,3595,3504,3812
263,29,0.650668751,0.543095565,0.617269438,1650,1650,1650,1719
264,27,0.451513817,-0.0295265493,0.0204402471,2956,2745,3062,3142
265,28,0.562407362,0.204747754,0.305685289,2368,2257,2539,2469
266,22,-0.558769678,-0.718079269,-0.800700291,4787,5064,4824,5086
267,27,0.451513817,-0.0295265493,0.0204402471,2955,2744,3061,3141
268,27,0.451513817,-0.0295265493,0.0204402471,2955,2744,3061,3141
269,18,-1.450871041,-1.0956569,-1.247927227,5522,5748,5522,5744
270,30,0.738930139,1.133394014,1.118004906,1,1,1,1
271,30,0.738930139,1.133394014,1.118004906,1,1,1,1
272,30,0.738930139,1.133394014,1.118004906,1,1,1,1
273,30,0.738930139,1.133394014,1.118004906,1,1,1,1
274,28,0.562407362,0.204747754,0.305685289,2364,2253,2535,2465
275,17,-1.561764586,-1.183694385,-1.339995763,5638,5796,5638,5826
276,25,0.0801548923,-0.36204655,-0.381978785,3935,4026,4024,4149
277,23,-0.181422894,-0.610397317,-0.618648331,4535,4537,4656,4674
278,28,0.539775206,0.204747754,0.215828054,2364,2349,2364,2594
279,28,0.539775206,0.204747754,0.215828054,2364,2349,2364,2594
280,28,0.539775206,0.204747754,0.215828054,2364,2349,2364,2594
281,26,0.340620272,-0.21119749,-0.183555894,3490,3222,3579,3611
282,30,0.738930139,1.133394014,1.118004906,1,1,1,1
283,24,-0.341092273,-0.493028413,-0.601025243,4235,4771,4526,4632
284,29,0.650668751,0.543095565,0.617269438,1645,1645,1645,1714
285,27,0.451513817,-0.0295265493,0.0204402471,2945,2734,3051,3131
286,23,-0.291901028,-0.610397317,-0.667792708,4527,4691,4527,4760
287,24,-0.397116088,-0.493028413,-0.603900792,4233,4844,4233,4630
288,29,0.650668751,0.543095565,0.617269438,1645,1645,1645,1714
289,30,0.738930139,1.133394014,1.118004906,1,1,1,1
290,30,0.738930139,1.133394014,1.118004906,1,1,1,1
291,26,0.282250465,-0.21119749,-0.193873244,3484,3432,3573,3639
292,25,0.0611240086,-0.36204655,-0.343067774,3924,4056,4190,4040
293,14,-1.911069857,-1.447911258,-1.55020384,5851,5899,5852,5946
294,22,-0.309252366,-0.718079269,-0.737341847,4763,4709,4800,4930
295,29,0.650668751,0.543095565,0.617269438,1643,1643,1643,1712
296,27,0.451513817,-0.0295265493,0.0204402471,2941,2730,3047,3127
297,23,-0.247111097,-0.610397317,-0.668855185,4519,4622,4639,4761
298,23,-0.335522157,-0.610397317,-0.718813622,4519,4746,4639,4876
299,24,-0.166599503,-0.493028413,-0.556848588,4226,4496,4226,4544
