"","agegroup","name","value"
"1","1","SUM-PCA",0.83
"2","1","SUM-PCM",1
"3","1","SUM-GPCM",0.891
"4","1","PCA-PCM",0.83
"5","1","PCA-GPCM",0.925
"6","1","PCM-GPCM",0.891
"7","2","SUM-PCA",0.898
"8","2","SUM-PCM",1
"9","2","SUM-GPCM",0.925
"10","2","PCA-PCM",0.898
"11","2","PCA-GPCM",0.959
"12","2","PCM-GPCM",0.925
"13","3","SUM-PCA",0.942
"14","3","SUM-PCM",1
"15","3","SUM-GPCM",0.958
"16","3","PCA-PCM",0.942
"17","3","PCA-GPCM",0.972
"18","3","PCM-GPCM",0.958
"19","4","SUM-PCA",0.952
"20","4","SUM-PCM",1
"21","4","SUM-GPCM",1
"22","4","PCA-PCM",0.952
"23","4","PCA-GPCM",0.952
"24","4","PCM-GPCM",1
