"","agegroup","name","value"
"1","1","SUM-PCA",0.841
"2","1","SUM-PCM",1
"3","1","SUM-GPCM",0.895
"4","1","PCA-PCM",0.841
"5","1","PCA-GPCM",0.93
"6","1","PCM-GPCM",0.895
"7","2","SUM-PCA",0.901
"8","2","SUM-PCM",1
"9","2","SUM-GPCM",0.925
"10","2","PCA-PCM",0.901
"11","2","PCA-GPCM",0.96
"12","2","PCM-GPCM",0.925
"13","3","SUM-PCA",0.947
"14","3","SUM-PCM",1
"15","3","SUM-GPCM",0.969
"16","3","PCA-PCM",0.947
"17","3","PCA-GPCM",0.974
"18","3","PCM-GPCM",0.969
"19","4","SUM-PCA",0.935
"20","4","SUM-PCM",1
"21","4","SUM-GPCM",1
"22","4","PCA-PCM",0.935
"23","4","PCA-GPCM",0.935
"24","4","PCM-GPCM",1
